69 50 75
33 53 59
66 83 97
96 89 96
66 48 97
72 83 90
95 72 88
77 39 66
95 35 95
85 53 98
 7 44 25
72 13 94
59 41 27
15 35 90
98 83 98
74 60 79
33 95 97
62  9 61
55 70 88
33 93 32
28 92 91
62 78 94
76 73 59
90 64  3
85 76 54
55 92 91
83 31 99
28 62 85
92 93 91
83 53 96
59 24 34
79 89 97
69  3 90
55 55 94
77 64 57
99 85 42
69 57 95
19 39 92
28 70 64
96 48 32
66 95 66
59 97 88
77 99 92
83 85 97
51 72 100
59 25 44
96 20 88
95 93 100
81 14 85
89 50 16
79 76 100
77 99 95
55 68 95
77 72 97
83 91 81
89 60 98
91 83 100
66 68 88
74 91 99
89 89 95
28 80 90
74 91 79
93 72 25
66 74 90
79 99 75
88 100 34
88 11 85
15 80 97
92 75 100
95 65 57

