50
608
J 2 1
J 4 1
J 6 1
J 8 1
J 10 1
J 12 1
J 14 1
J 16 1
J 18 1
J 20 1
J 22 1
J 24 1
J 26 1
J 28 1
J 30 1
J 32 1
J 34 1
J 36 1
J 38 1
J 40 1
J 42 1
J 44 1
J 46 1
J 48 1
J 50 1
J 2 3
J 4 3
J 6 3
J 8 3
J 10 3
J 12 3
J 14 3
J 16 3
J 18 3
J 20 3
J 22 3
J 24 3
J 26 3
J 28 3
J 30 3
J 32 3
J 34 3
J 36 3
J 38 3
J 40 3
J 42 3
J 44 3
J 46 3
J 48 3
J 50 3
J 2 5
J 4 5
J 6 5
J 8 5
J 10 5
J 12 5
J 14 5
J 16 5
J 18 5
J 20 5
J 22 5
J 24 5
J 26 5
J 28 5
J 30 5
J 32 5
J 34 5
J 36 5
J 38 5
J 40 5
J 42 5
J 44 5
J 46 5
J 48 5
J 50 5
J 2 7
J 4 7
J 6 7
J 8 7
J 10 7
J 12 7
J 14 7
J 16 7
J 18 7
J 20 7
J 22 7
J 24 7
J 26 7
J 28 7
J 30 7
J 32 7
J 34 7
J 36 7
J 38 7
J 40 7
J 42 7
J 44 7
J 46 7
J 48 7
J 50 7
J 2 9
J 4 9
J 6 9
J 8 9
J 10 9
J 12 9
J 14 9
J 16 9
J 18 9
J 20 9
J 22 9
J 24 9
J 26 9
J 28 9
J 30 9
J 32 9
J 34 9
J 36 9
J 38 9
J 40 9
J 42 9
J 44 9
J 46 9
J 48 9
J 50 9
J 2 11
J 4 11
J 6 11
J 8 11
J 10 11
J 12 11
J 14 11
J 16 11
J 18 11
J 20 11
J 22 11
J 24 11
J 26 11
J 28 11
J 30 11
J 32 11
J 34 11
J 36 11
J 38 11
J 40 11
J 42 11
J 44 11
J 46 11
J 48 11
J 50 11
J 2 13
J 4 13
J 6 13
J 8 13
J 10 13
J 12 13
J 14 13
J 16 13
J 18 13
J 20 13
J 22 13
J 24 13
J 26 13
J 28 13
J 30 13
J 32 13
J 34 13
J 36 13
J 38 13
J 40 13
J 42 13
J 44 13
J 46 13
J 48 13
J 50 13
J 2 15
J 4 15
J 6 15
J 8 15
J 10 15
J 12 15
J 14 15
J 16 15
J 18 15
J 20 15
J 22 15
J 24 15
J 26 15
J 28 15
J 30 15
J 32 15
J 34 15
J 36 15
J 38 15
J 40 15
J 42 15
J 44 15
J 46 15
J 48 15
J 50 15
J 2 17
J 4 17
J 6 17
J 8 17
J 10 17
J 12 17
J 14 17
J 16 17
J 18 17
J 20 17
J 22 17
J 24 17
J 26 17
J 28 17
J 30 17
J 32 17
J 34 17
J 36 17
J 38 17
J 40 17
J 42 17
J 44 17
J 46 17
J 48 17
J 50 17
J 2 19
J 4 19
J 6 19
J 8 19
J 10 19
J 12 19
J 14 19
J 16 19
J 18 19
J 20 19
J 22 19
J 24 19
J 26 19
J 28 19
J 30 19
J 32 19
J 34 19
J 36 19
J 38 19
J 40 19
J 42 19
J 44 19
J 46 19
J 48 19
J 50 19
J 2 21
J 4 21
J 6 21
J 8 21
J 10 21
J 12 21
J 14 21
J 16 21
J 18 21
J 20 21
J 22 21
J 24 21
J 26 21
J 28 21
